2026-03-09 14:36:54 | INFO | rag.vector_store:270 | req=a65d8ecc-b7e2-40b1-b611-d8617b7c1d5a | sess=- | Vector store saved
2026-03-09 14:36:54 | INFO | rag.rag_pipeline:268 | req=a65d8ecc-b7e2-40b1-b611-d8617b7c1d5a | sess=- | Document ingested
2026-03-09 14:36:56 | INFO | app.api_routes:236 | req=3a8be6da-3df9-4409-9534-864d7664a9e7 | sess=- | Document upload received
2026-03-09 14:36:56 | INFO | rag.document_loader:121 | req=3a8be6da-3df9-4409-9534-864d7664a9e7 | sess=- | PDF loaded: hr_policy.pdf — 1 pages
2026-03-09 14:36:56 | INFO | rag.vector_store:164 | req=3a8be6da-3df9-4409-9534-864d7664a9e7 | sess=- | Added 1 chunks to index (total=4)
2026-03-09 14:36:56 | INFO | rag.vector_store:270 | req=3a8be6da-3df9-4409-9534-864d7664a9e7 | sess=- | Vector store saved
2026-03-09 14:36:56 | INFO | rag.rag_pipeline:268 | req=3a8be6da-3df9-4409-9534-864d7664a9e7 | sess=- | Document ingested
2026-03-09 14:36:58 | INFO | app.api_routes:236 | req=82193e0d-455c-49ae-924c-f6f3768c5618 | sess=- | Document upload received
2026-03-09 14:36:58 | INFO | rag.document_loader:121 | req=82193e0d-455c-49ae-924c-f6f3768c5618 | sess=- | PDF loaded: it_security_policy.pdf — 1 pages
2026-03-09 14:36:58 | INFO | rag.vector_store:164 | req=82193e0d-455c-49ae-924c-f6f3768c5618 | sess=- | Added 1 chunks to index (total=5)
2026-03-09 14:36:58 | INFO | rag.vector_store:270 | req=82193e0d-455c-49ae-924c-f6f3768c5618 | sess=- | Vector store saved
2026-03-09 14:36:58 | INFO | rag.rag_pipeline:268 | req=82193e0d-455c-49ae-924c-f6f3768c5618 | sess=- | Document ingested
2026-03-09 14:37:00 | INFO | app.api_routes:236 | req=5369d3a8-88d9-408a-89bb-9a6525adcaa7 | sess=- | Document upload received
2026-03-09 14:37:00 | INFO | rag.document_loader:121 | req=5369d3a8-88d9-408a-89bb-9a6525adcaa7 | sess=- | PDF loaded: leave_policy.pdf — 1 pages
2026-03-09 14:37:00 | INFO | rag.vector_store:164 | req=5369d3a8-88d9-408a-89bb-9a6525adcaa7 | sess=- | Added 1 chunks to index (total=6)
2026-03-09 14:37:00 | INFO | rag.vector_store:270 | req=5369d3a8-88d9-408a-89bb-9a6525adcaa7 | sess=- | Vector store saved
2026-03-09 14:37:00 | INFO | rag.rag_pipeline:268 | req=5369d3a8-88d9-408a-89bb-9a6525adcaa7 | sess=- | Document ingested
2026-03-09 14:37:02 | INFO | app.api_routes:236 | req=2310913e-ab59-46c6-8e71-df5066c96b95 | sess=- | Document upload received
2026-03-09 14:37:02 | INFO | rag.document_loader:121 | req=2310913e-ab59-46c6-8e71-df5066c96b95 | sess=- | PDF loaded: onboarding_guide.pdf — 1 pages
2026-03-09 14:37:02 | INFO | rag.vector_store:164 | req=2310913e-ab59-46c6-8e71-df5066c96b95 | sess=- | Added 1 chunks to index (total=7)
2026-03-09 14:37:02 | INFO | rag.vector_store:270 | req=2310913e-ab59-46c6-8e71-df5066c96b95 | sess=- | Vector store saved
2026-03-09 14:37:02 | INFO | rag.rag_pipeline:268 | req=2310913e-ab59-46c6-8e71-df5066c96b95 | sess=- | Document ingested
2026-03-09 14:37:04 | INFO | app.api_routes:236 | req=2d04ef4b-1a52-4384-aeb3-e1f66dfeff04 | sess=- | Document upload received
2026-03-09 14:37:04 | INFO | rag.document_loader:121 | req=2d04ef4b-1a52-4384-aeb3-e1f66dfeff04 | sess=- | PDF loaded: performance_review_policy.pdf — 1 pages
2026-03-09 14:37:04 | INFO | rag.vector_store:164 | req=2d04ef4b-1a52-4384-aeb3-e1f66dfeff04 | sess=- | Added 1 chunks to index (total=8)
2026-03-09 14:37:04 | INFO | rag.vector_store:270 | req=2d04ef4b-1a52-4384-aeb3-e1f66dfeff04 | sess=- | Vector store saved
2026-03-09 14:37:04 | INFO | rag.rag_pipeline:268 | req=2d04ef4b-1a52-4384-aeb3-e1f66dfeff04 | sess=- | Document ingested
2026-03-09 14:37:06 | INFO | app.api_routes:236 | req=64153bdb-4d1a-4c60-bc32-a83c2b0fbbb4 | sess=- | Document upload received
2026-03-09 14:37:06 | INFO | rag.document_loader:121 | req=64153bdb-4d1a-4c60-bc32-a83c2b0fbbb4 | sess=- | PDF loaded: remote_work_policy.pdf — 1 pages
2026-03-09 14:37:06 | INFO | rag.vector_store:164 | req=64153bdb-4d1a-4c60-bc32-a83c2b0fbbb4 | sess=- | Added 1 chunks to index (total=9)
2026-03-09 14:37:06 | INFO | rag.vector_store:270 | req=64153bdb-4d1a-4c60-bc32-a83c2b0fbbb4 | sess=- | Vector store saved
2026-03-09 14:37:06 | INFO | rag.rag_pipeline:268 | req=64153bdb-4d1a-4c60-bc32-a83c2b0fbbb4 | sess=- | Document ingested
2026-03-09 14:37:08 | INFO | app.api_routes:236 | req=c350176b-1d21-4ae7-93c6-f321328756b9 | sess=- | Document upload received
2026-03-09 14:37:08 | INFO | rag.document_loader:121 | req=c350176b-1d21-4ae7-93c6-f321328756b9 | sess=- | PDF loaded: travel_policy.pdf — 1 pages
2026-03-09 14:37:08 | INFO | rag.vector_store:164 | req=c350176b-1d21-4ae7-93c6-f321328756b9 | sess=- | Added 1 chunks to index (total=10)
2026-03-09 14:37:08 | INFO | rag.vector_store:270 | req=c350176b-1d21-4ae7-93c6-f321328756b9 | sess=- | Vector store saved
2026-03-09 14:37:08 | INFO | rag.rag_pipeline:268 | req=c350176b-1d21-4ae7-93c6-f321328756b9 | sess=- | Document ingested
2026-03-09 14:38:34 | INFO | app.api_routes:307 | req=aa64f28c-c76b-4743-8dc9-20ce5ed4bb6d | sess=- | Query received
2026-03-09 14:38:34 | INFO | rag.retriever:74 | req=- | sess=- | BM25 index built with 10 chunks
2026-03-09 14:38:34 | INFO | rag.retriever:276 | req=- | sess=- | Hybrid retriever (semantic + BM25) initialised
2026-03-09 14:38:34 | INFO | rag.reranker:40 | req=- | sess=- | Loading cross-encoder: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-03-09 14:38:49 | INFO | rag.reranker:44 | req=- | sess=- | Cross-encoder loaded in 15745 ms
2026-03-09 14:38:50 | INFO | utils.logger:162 | req=- | sess=- | 🔍 Retrieval
2026-03-09 14:39:04 | ERROR | app.api_routes:327 | req=aa64f28c-c76b-4743-8dc9-20ce5ed4bb6d | sess=- | Query failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
